"filename", "language", "JavaScript", "JSON", "Properties", "Markdown", "XML", "Prisma", "JSON with Comments", "SQL", "comment", "blank", "total"
"/Users/yangyueHelen/Desktop/material-ui-nextjs/src/components/Home/TenantDashboard/OverviewLayout.js", "JavaScript", 63, 0, 0, 0, 0, 0, 0, 0, 0, 4, 67
"/Users/yangyueHelen/Desktop/material-ui-nextjs/src/components/Home/TenantDashboard/TenantForm.js", "JavaScript", 215, 0, 0, 0, 0, 0, 0, 0, 0, 3, 218
"/Users/yangyueHelen/Desktop/material-ui-nextjs/src/components/Home/TenantDashboard/TenantTable.js", "JavaScript", 149, 0, 0, 0, 0, 0, 0, 0, 0, 8, 157
"/Users/yangyueHelen/Desktop/material-ui-nextjs/src/components/Home/TopBar.js", "JavaScript", 78, 0, 0, 0, 0, 0, 0, 0, 0, 6, 84
"/Users/yangyueHelen/Desktop/material-ui-nextjs/src/components/Home/UserDashboard/OverviewLayout.js", "JavaScript", 63, 0, 0, 0, 0, 0, 0, 0, 0, 4, 67
"/Users/yangyueHelen/Desktop/material-ui-nextjs/src/components/Home/UserDashboard/UserForm.js", "JavaScript", 240, 0, 0, 0, 0, 0, 0, 0, 0, 6, 246
"/Users/yangyueHelen/Desktop/material-ui-nextjs/src/components/Home/UserDashboard/UserTable.js", "JavaScript", 156, 0, 0, 0, 0, 0, 0, 0, 0, 8, 164
"/Users/yangyueHelen/Desktop/material-ui-nextjs/src/components/Login/Login.js", "JavaScript", 191, 0, 0, 0, 0, 0, 0, 0, 0, 11, 202
"/Users/yangyueHelen/Desktop/material-ui-nextjs/src/components/ThemeRegistry/EmotionCache.js", "JavaScript", 68, 0, 0, 0, 0, 0, 0, 0, 2, 9, 79
"/Users/yangyueHelen/Desktop/material-ui-nextjs/src/components/ThemeRegistry/ThemeRegistry.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 2, 19
"/Users/yangyueHelen/Desktop/material-ui-nextjs/src/components/ThemeRegistry/theme.js", "JavaScript", 27, 0, 0, 0, 0, 0, 0, 0, 0, 4, 31
"/Users/yangyueHelen/Desktop/material-ui-nextjs/src/components/Utils/BlackButton.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"/Users/yangyueHelen/Desktop/material-ui-nextjs/src/components/Utils/Logo.js", "JavaScript", 49, 0, 0, 0, 0, 0, 0, 0, 0, 4, 53
"/Users/yangyueHelen/Desktop/material-ui-nextjs/src/components/Utils/NoderedIcon.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 0, 0, 3, 28
"/Users/yangyueHelen/Desktop/material-ui-nextjs/src/components/user.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 0, 0, 4, 29
"/Users/yangyueHelen/Desktop/material-ui-nextjs/src/config.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"/Users/yangyueHelen/Desktop/material-ui-nextjs/src/db.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 5, 10
"/Users/yangyueHelen/Desktop/material-ui-nextjs/src/middleware.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 3, 1, 16
"/Users/yangyueHelen/Desktop/material-ui-nextjs/src/utils/actions.js", "JavaScript", 172, 0, 0, 0, 0, 0, 0, 0, 4, 19, 195
"/Users/yangyueHelen/Desktop/material-ui-nextjs/src/utils/flow-provider.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
"/Users/yangyueHelen/Desktop/material-ui-nextjs/src/utils/http.js", "JavaScript", 182, 0, 0, 0, 0, 0, 0, 0, 34, 9, 225
"/Users/yangyueHelen/Desktop/material-ui-nextjs/src/utils/user-context.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11
"Total", "-", 5036, 6073, 3, 18, 11, 56, 7, 140, 109, 374, 11827
